Task,Compression Method,Parameter,Value
Defect Prediction,Quantization (quanto-qfloat8),MCC,0.248
Defect Prediction,Quantization (quanto-qint8),F1,0.536
Defect Prediction,Quantization (quanto-qint8),MCC,0.241
Defect Prediction,Quantization (quanto-qint4),F1,0.517
Defect Prediction,Quantization (quanto-qint4),MCC,0.226
Defect Prediction,Pruning 0.6,F1,0.275
Defect Prediction,Pruning 0.6,MCC,0.202
Defect Prediction,Pruning 0.4,F1,0.211
Defect Prediction,Pruning 0.4,MCC,0.196
Defect Prediction,Pruning 0.2,F1,0.319
Defect Prediction,Pruning 0.2,MCC,0.219
Defect Prediction,Compressor,Model Size,3.09374
Defect Prediction,Compressor,Avg Inference Time CPU,1.4956105309863423
Defect Prediction,Compressor,Avg Inference Time CUDA,0.0168205083802688
Summarization,No One,Avg Inference Time CUDA,23.721
Summarization,Distillation (distilbert),Avg Inference Time CUDA,25.044
Summarization,Quantization  (quanto-qfloat8),Avg Inference Time CUDA,27.249
Summarization,Quantization (quanto-qint8),Avg Inference Time CUDA,25.467
Summarization,Quantization (quanto-qint4),Avg Inference Time CUDA,30.673
Summarization,Pruning 0.6,Avg Inference Time CUDA,133.508
Summarization,Pruning 0.4,Avg Inference Time CUDA,56.819
Summarization,Pruning 0.2,Avg Inference Time CUDA,26.298
Summarization,No One,Avg Inference Time CPU,500.38
Summarization,Distillation (distilbert),Avg Inference Time CPU,99.225
Summarization,Quantization  (quanto-qfloat8),Avg Inference Time CPU,121.039
Summarization,Quantization (quanto-qint8),Avg Inference Time CPU,121.013
Summarization,Quantization (quanto-qint4),Avg Inference Time CPU,201.302
Summarization,Pruning 0.6,Avg Inference Time CPU,597.949
Summarization,Pruning 0.4,Avg Inference Time CPU,225.061
Summarization,Pruning 0.2,Avg Inference Time CPU,88.201
Summarization,No One,Median Inference Time CUDA,23.691545
Summarization,Distillation (distilbert),Median Inference Time CUDA,23.84124
Summarization,Quantization  (quanto-qfloat8),Median Inference Time CUDA,27.12745
Summarization,Quantization (quanto-qint8),Median Inference Time CUDA,25.305003
Summarization,Quantization (quanto-qint4),Median Inference Time CUDA,30.419127
Summarization,Pruning 0.6,Median Inference Time CUDA,129.000642
Summarization,Pruning 0.4,Median Inference Time CUDA,53.249979
Summarization,Pruning 0.2,Median Inference Time CUDA,26.064305
Summarization,No One,Median Inference Time CPU,157.36878
Summarization,Distillation (distilbert),Median Inference Time CPU,92.065376
Summarization,Quantization  (quanto-qfloat8),Median Inference Time CPU,119.824148
Summarization,Quantization (quanto-qint8),Median Inference Time CPU,120.766096
Summarization,Quantization (quanto-qint4),Median Inference Time CPU,122.601804
Summarization,Pruning 0.6,Median Inference Time CPU,484.378003
Summarization,Pruning 0.4,Median Inference Time CPU,214.042914
Summarization,Pruning 0.2,Median Inference Time CPU,85.809057
Summarization,No One,Model Size,706.910458
Summarization,Distillation (distilbert),Model Size,473.741846
Summarization,Quantization  (quanto-qfloat8),Model Size,410.12761
Summarization,Quantization (quanto-qint8),Model Size,410.139194
Summarization,Quantization (quanto-qint4),Model Size,340.10105
Summarization,Pruning 0.6,Model Size,706.910458
Summarization,Pruning 0.4,Model Size,706.910458
Summarization,Pruning 0.2,Model Size,706.910458
Summarization,No One,Bleu,18.791
Summarization,Distillation (distilbert),Bleu,10.84278693
Summarization,Quantization  (quanto-qfloat8),Bleu,18.87239722
Summarization,Quantization (quanto-qint8),Bleu,18.73863026
Summarization,Quantization (quanto-qint4),Bleu,18.40857023
Summarization,Pruning 0.6,Bleu,1.248694679
Summarization,Pruning 0.4,Bleu,6.269478334
Summarization,Pruning 0.2,Bleu,17.98515048
Code Search,No One,Avg Inference Time CUDA,0.014026384
Code Search,Distillation (distilbert),Avg Inference Time CUDA,0.005944954
Code Search,Quantization  (quanto-qfloat8),Avg Inference Time CUDA,0.022051973
Code Search,Quantization (quanto-qint8),Avg Inference Time CUDA,0.020785686
Code Search,Quantization (quanto-qint4),Avg Inference Time CUDA,0.031715363
Code Search,Pruning 0.6,Avg Inference Time CUDA,0.012755254
Code Search,Pruning 0.4,Avg Inference Time CUDA,0.011624741
Code Search,Pruning 0.2,Avg Inference Time CUDA,0.011495261
Code Search,No One,Avg Inference Time CPU,6.178659578
Code Search,Distillation (distilbert),Avg Inference Time CPU,1.14179
Code Search,Quantization  (quanto-qfloat8),Avg Inference Time CPU,8.263457907
Code Search,Quantization (quanto-qint8),Avg Inference Time CPU,8.726290479
Code Search,Quantization (quanto-qint4),Avg Inference Time CPU,9.85398576
Code Search,Pruning 0.6,Avg Inference Time CPU,6.581949183
Code Search,Pruning 0.4,Avg Inference Time CPU,7.098404006
Code Search,Pruning 0.2,Avg Inference Time CPU,6.528728545
Code Search,No One,Median Inference Time CUDA,0.010074
Code Search,Distillation (distilbert),Median Inference Time CUDA,0.007191
Code Search,Quantization  (quanto-qfloat8),Median Inference Time CUDA,0.021618
Code Search,Quantization (quanto-qint8),Median Inference Time CUDA,0.020796
Code Search,Quantization (quanto-qint4),Median Inference Time CUDA,0.03139
Code Search,Pruning 0.6,Median Inference Time CUDA,0.012594
Code Search,Pruning 0.4,Median Inference Time CUDA,0.010927
Code Search,Pruning 0.2,Median Inference Time CUDA,0.011291
Code Search,No One,Median Inference Time CPU,6.04695
Code Search,Distillation (distilbert),Median Inference Time CPU,0.918362
Code Search,Quantization  (quanto-qfloat8),Median Inference Time CPU,8.411494
Code Search,Quantization (quanto-qint8),Median Inference Time CPU,9.115803
Code Search,Quantization (quanto-qint4),Median Inference Time CPU,9.874065
Code Search,Pruning 0.6,Median Inference Time CPU,6.449681
Code Search,Pruning 0.4,Median Inference Time CPU,6.875338
Code Search,Pruning 0.2,Median Inference Time CPU,6.449886
Code Search,No One,Model Size,498.64844
Code Search,Distillation (distilbert),Model Size,255.56
Code Search,Quantization  (quanto-qfloat8),Model Size,242.526826
Code Search,Quantization (quanto-qint8),Model Size,242.526634
Code Search,Quantization (quanto-qint4),Model Size,202.815668
Code Search,Pruning 0.6,Model Size,498.64844
Code Search,Pruning 0.4,Model Size,498.64844
Code Search,Pruning 0.2,Model Size,498.64844
Code Search,No One,MRR,0.3293
Code Search,Distillation (distilbert),MRR,0.1569
Code Search,Quantization  (quanto-qfloat8),MRR,0.3286
Code Search,Quantization (quanto-qint8),MRR,0.3293
Code Search,Quantization (quanto-qint4),MRR,0.3085
Code Search,Pruning 0.6,MRR,0.0014
Code Search,Pruning 0.4,MRR,0.1577
Code Search,Pruning 0.2,MRR,0.3187
Summarization,No One,BERTScore,0.888099334
Summarization,Distillation (distilbert),BERTScore,0.833968554
Summarization,Quantization  (quanto-qfloat8),BERTScore,0.888519709
Summarization,Quantization (quanto-qint8),BERTScore,0.888099333
Summarization,Quantization (quanto-qint4),BERTScore,0.887573532
Summarization,Pruning 0.6,BERTScore,0.369772208
Summarization,Pruning 0.4,BERTScore,0.730843167
Summarization,Pruning 0.2,BERTScore,0.886788105
Summarization,No One,SIDE,0.870861469
Summarization,Distillation (distilbert),SIDE,0.255636603
Summarization,Quantization  (quanto-qfloat8),SIDE,0.871436646
Summarization,Quantization (quanto-qint8),SIDE,0.870861469
Summarization,Quantization (quanto-qint4),SIDE,0.872632873
Summarization,Pruning 0.6,SIDE,0.060840648
Summarization,Pruning 0.4,SIDE,0.501201641
Summarization,Pruning 0.2,SIDE,0.874086744
Code Search,No One,MRR@1,0.2416
Code Search,No One,MRR@5,0.3103
Code Search,Distillation (distilbert),MRR@1,0.1021
Code Search,Distillation (distilbert),MRR@5,0.1419
Code Search,Quantization  (quanto-qint8),MRR@1,0.2413
Code Search,Quantization  (quanto-qint8),MRR@5,0.3105
Code Search,Quantization  (quanto-qfloat8),MRR@1,0.2416
Code Search,Quantization  (quanto-qfloat8),MRR@5,0.3095
Code Search,Quantization (quanto-qint4),MRR@1,0.2232
Code Search,Quantization (quanto-qint4),MRR@5,0.2895
Code Search,Pruning 0.6,MRR@1,0.0003
Code Search,Pruning 0.6,MRR@5,0.0006
Code Search,Pruning 0.4,MRR@1,0.1032
Code Search,Pruning 0.4,MRR@5,0.1419
Code Search,Pruning 0.2,MRR@1,0.2335
Code Search,Pruning 0.2,MRR@5,0.2996
Code Search,Compressor,MRR,0.0043
Code Search,Compressor,MRR@1,0.0014
Code Search,Compressor,MRR@5,0.0025
Code Search,Compressor,Model Size,22.0094
Code Search Graph,Compressor,Model Size,22.006648
Code Search Graph,Compressor,Avg Inference Time CPU,0.7721325646207182
Code Search Graph,Compressor,Avg Inference Time CUDA,0.0093899121712212
Code Search,Compressor,Avg Inference Time CPU,0.8026763117590616
Code Search,Compressor,Avg Inference Time CUDA,0.0105062354838729
Defect Prediction,Compressor,Accuracy,0.5948023426061494
Defect Prediction,Compressor,F1,0.4213277574490329
Defect Prediction,Compressor,MCC,0.1730328116109823
Code Search Graph,No One,Avg Inference Time CUDA,0.01
Code Search Graph,No One,Avg Inference Time CPU,5.91
Code Search Graph,No One,Model Size,498.655532
Code Search Graph,Pruning 0.2,Avg Inference Time CUDA,0.0118718733423176
Code Search Graph,Pruning 0.6,Avg Inference Time CPU,13.021046350168628
Code Search Graph,Pruning 0.6,Model Size,498.64844
Code Search Graph,No One,Avg Inference Time CPU,12.902478380456715
Code Search Graph,No One,Model Size,498.64844
Code Search Graph,Quantization (quanto-qint4),Avg Inference Time CPU,14.108944035843756
Code Search Graph,Quantization (quanto-qint4),Model Size,202.815668
Code Search Graph,No One,Avg Inference Time CUDA,0.0122965491095254
Code Search Graph,Quantization (quanto-qfloat8),Avg Inference Time CUDA,0.0206469150872721
Code Search Graph,Quantization (quanto-qint4),Avg Inference Time CUDA,0.03138020426728
Code Search Graph,Quantization (quanto-qint8),Avg Inference Time CPU,16.719297038360292
Code Search Graph,Quantization (quanto-qint8),Model Size,242.526634
Code Search Graph,Pruning 0.2,Avg Inference Time CPU,13.84173415586402
Code Search Graph,Pruning 0.2,Model Size,498.64844
Code Search Graph,Quantization (quanto-qint8),Avg Inference Time CUDA,0.0211463600298098
Code Search Graph,Pruning 0.6,Avg Inference Time CUDA,0.0108602165779798
Code Search Graph,Quantization (quanto-qfloat8),Avg Inference Time CPU,8.13362624716521
Code Search Graph,Quantization (quanto-qfloat8),Model Size,242.526826
Code Search Graph,Pruning 0.4,Avg Inference Time CUDA,0.010731271731101
Code Search Graph,Pruning 0.4,Avg Inference Time CPU,20.24690510822689
Code Search Graph,Pruning 0.4,Model Size,498.64844
Code Search Graph,Pruning 0.6,MRR,0.0373
Code Search Graph,Pruning 0.6,MRR@1,0.0189
Code Search Graph,Pruning 0.6,MRR@5,0.0298
Code Search Graph,Pruning 0.4,MRR,0.2846
Code Search Graph,Pruning 0.4,MRR@1,0.2041
Code Search Graph,Pruning 0.4,MRR@5,0.2656
Code Search Graph,Pruning 0.2,MRR,0.3507
Code Search Graph,Pruning 0.2,MRR@1,0.2601
Code Search Graph,Pruning 0.2,MRR@5,0.3312
Code Search Graph,Quantization (quanto-qint4),MRR,0.3455
Code Search Graph,Quantization (quanto-qint4),MRR@1,0.2559
Code Search Graph,Quantization (quanto-qint4),MRR@5,0.3265
Code Search Graph,Quantization (quanto-qint8),MRR,0.3622
Code Search Graph,Quantization (quanto-qint8),MRR@1,0.2707
Code Search Graph,Quantization (quanto-qint8),MRR@5,0.3431
Code Search Graph,No One,MRR,0.3611
Code Search Graph,No One,MRR@1,0.2694
Code Search Graph,No One,MRR@5,0.3419
Code Search Graph,Quantization (quanto-qfloat8),MRR,0.3611
Code Search Graph,Quantization (quanto-qfloat8),MRR@1,0.27
Code Search Graph,Quantization (quanto-qfloat8),MRR@5,0.3419
Defect Prediction Graph,Pruning 0.6,Avg Inference Time CUDA,0.0102513612702835
Defect Prediction Graph,Pruning 0.2,Avg Inference Time CPU,47.49614692843237
Defect Prediction Graph,Pruning 0.2,Model Size,498.655532
Defect Prediction Graph,Pruning 0.4,Avg Inference Time CUDA,0.0104886820149976
Defect Prediction Graph,Quantization (quanto-qint8),Avg Inference Time CUDA,0.0203471571900123
Defect Prediction Graph,Quantization (quanto-qint4),Avg Inference Time CPU,27.5919300844503
Defect Prediction Graph,Quantization (quanto-qint4),Model Size,202.830864
Defect Prediction Graph,Quantization (quanto-qfloat8),Avg Inference Time CPU,15.428074254546054
Defect Prediction Graph,Quantization (quanto-qfloat8),Model Size,242.538956
Defect Prediction Graph,Quantization (quanto-qfloat8),Avg Inference Time CUDA,0.0203600927840831
Defect Prediction Graph,Pruning 0.4,Avg Inference Time CPU,7.357994750488636
Defect Prediction Graph,Pruning 0.4,Model Size,498.655532
Defect Prediction Graph,Quantization (quanto-qint8),Avg Inference Time CPU,34.83609700757404
Defect Prediction Graph,Quantization (quanto-qint8),Model Size,242.5387
Defect Prediction Graph,Quantization (quanto-qint4),Avg Inference Time CUDA,0.03033391264982
Defect Prediction Graph,Pruning 0.6,Avg Inference Time CPU,48.44649135789206
Defect Prediction Graph,Pruning 0.6,Model Size,498.655532
Defect Prediction Graph,Pruning 0.2,Avg Inference Time CUDA,0.0104141346243924
Defect Prediction Graph,Quantization (quanto-qint4),Accuracy,0.6277452415812591
Defect Prediction Graph,Quantization (quanto-qint4),F1,0.6044340723453909
Defect Prediction Graph,Quantization (quanto-qint4),MCC,0.2535238683307118
Defect Prediction Graph,Pruning 0.6,Accuracy,0.6050512445095169
Defect Prediction Graph,Pruning 0.6,F1,0.5322930212397052
Defect Prediction Graph,Pruning 0.6,MCC,0.1973432329396212
Defect Prediction Graph,Quantization (quanto-qint8),Accuracy,0.6204245973645681
Defect Prediction Graph,Quantization (quanto-qint8),F1,0.5688149688149688
Defect Prediction Graph,Quantization (quanto-qint8),MCC,0.2316711785683037
Defect Prediction Graph,Quantization (quanto-qint8),Accuracy,0.6215226939970717
Defect Prediction Graph,Quantization (quanto-qint8),F1,0.5751848808545604
Defect Prediction Graph,Quantization (quanto-qint8),MCC,0.2349023455850689
Defect Prediction Graph,No One,Accuracy,0.6211566617862372
Defect Prediction Graph,No One,F1,0.5721372467961968
Defect Prediction Graph,No One,MCC,0.2336296614915849
Defect Prediction Graph,Pruning 0.4,Accuracy,0.6153001464128843
Defect Prediction Graph,Pruning 0.4,F1,0.4482939632545932
Defect Prediction Graph,Pruning 0.4,MCC,0.2214969574702673
Defect Prediction Graph,Pruning 0.2,Accuracy,0.6211566617862372
Defect Prediction Graph,Pruning 0.2,F1,0.552141929900476
Defect Prediction Graph,Pruning 0.2,MCC,0.2306326701417382
Defect Prediction Graph,Compressor,Model Size,3.09374
Defect Prediction Graph,Compressor,Avg Inference Time CPU,0.85997282627017
Defect Prediction Graph,Compressor,Avg Inference Time CUDA,0.0111315915750902
Code Summarization T5,No One,Avg Inference Time CPU,12.388410023478574
Code Summarization T5,No One,Model Size,891.644607
Code Summarization T5,Quantization (quanto-qint8),Avg Inference Time CUDA,2.273070220337358
Code Summarization T5,Pruning 0.6,Avg Inference Time CPU,11.792606901290805
Code Summarization T5,Pruning 0.6,Model Size,891.644607
Code Summarization T5,Pruning 0.4,Avg Inference Time CPU,12.328668349011
Code Summarization T5,Pruning 0.4,Model Size,891.644607
Code Summarization T5,Pruning 0.2,Avg Inference Time CPU,12.398546519667605
Code Summarization T5,Pruning 0.2,Model Size,891.644607
Code Summarization T5,No One,Avg Inference Time CUDA,2.1138756275177
Code Summarization T5,Pruning 0.6,Avg Inference Time CUDA,2.128093680670095
Code Summarization T5,Quantization (quanto-qint4),Avg Inference Time CUDA,2.427902523861375
Code Summarization T5,Pruning 0.2,Avg Inference Time CUDA,2.1148421473281327
Code Summarization T5,Quantization (quanto-qfloat8),Avg Inference Time CPU,7.699378197969392
Code Summarization T5,Quantization (quanto-qfloat8),Model Size,322.965955
Code Summarization T5,Pruning 0.4,Avg Inference Time CUDA,2.100378367789956
Code Summarization T5,Quantization (quanto-qint8),Avg Inference Time CPU,12.451433016810306
Code Summarization T5,Quantization (quanto-qint8),Model Size,322.965507
Code Summarization T5,Quantization (quanto-qint4),Avg Inference Time CPU,15.644011716509974
Code Summarization T5,Quantization (quanto-qint4),Model Size,219.44509
Code Summarization T5,Quantization (quanto-qint8),Avg Inference Time CUDA,2.2878125711928967
Summarization T5,Quantization (quanto-qint8),Bleu,19.87853430257151
Summarization T5,Quantization (quanto-qint8),BERTScore,0.8928772263361514
Summarization T5,Quantization (quanto-qint8),SIDE,0.8880885873889336
Summarization T5,No One,Bleu,19.888215074898547
Summarization T5,No One,BERTScore,0.8928905755023008
Summarization T5,No One,SIDE,0.8882407288853843
Summarization T5,Pruning 0.2,Bleu,19.685724702640247
Summarization T5,Pruning 0.2,BERTScore,0.8921365491280758
Summarization T5,Pruning 0.2,SIDE,0.8853715921505191
Summarization T5,Quantization (quanto-qfloat8),Bleu,19.89263627412828
Summarization T5,Quantization (quanto-qfloat8),BERTScore,0.8929028284109003
Summarization T5,Quantization (quanto-qfloat8),SIDE,0.8877538213483387
Summarization T5,Quantization (quanto-qint4),Bleu,19.716378822152773
Summarization T5,Quantization (quanto-qint4),BERTScore,0.8925892769773492
Summarization T5,Quantization (quanto-qint4),SIDE,0.8870927553557604
Summarization T5,Pruning 0.6,Bleu,5.959810036621855
Summarization T5,Pruning 0.6,BERTScore,0.7639073429941207
Summarization T5,Pruning 0.6,SIDE,0.5104587082850987
Summarization T5,Pruning 0.4,Bleu,19.42373579820537
Summarization T5,Pruning 0.4,BERTScore,0.889968284930556
Summarization T5,Pruning 0.4,SIDE,0.8796690877770137
Defect Prediction Graph,Compressor,Accuracy,0.5969985358711567
Defect Prediction Graph,Compressor,F1,0.4984054669703872
Defect Prediction Graph,Compressor,MCC,0.1780972538488465
Code Search Graph,Compressor,MRR,0.0003
Code Search Graph,Compressor,MRR@1,0.0001
Code Search Graph,Compressor,MRR@5,0.0001
Defect Prediction T5P,No One,Accuracy,0.5142752562225475
Defect Prediction T5P,No One,F1,0.3113648157758173
Defect Prediction T5P,Quantization (quanto-qint8),Accuracy,0.4930453879941435
Defect Prediction T5P,Quantization (quanto-qint8),F1,0.4283945522080066
Defect Prediction T5P,Quantization (quanto-qint8),MCC,-0.0260479556837695
Defect Prediction T5P,Quantization (quanto-qint8),Accuracy,0.5344070278184481
Defect Prediction T5P,Quantization (quanto-qint8),F1,0.3375
Defect Prediction T5P,Quantization (quanto-qint8),MCC,0.0316954747253484
Defect Prediction T5P,No One,Accuracy,0.5358711566617862
Defect Prediction T5P,No One,F1,0.3233724653148346
Defect Prediction T5P,No One,MCC,0.0327224285879036
Summarization Llama3.1,No One,Bleu,12.746508847346185
Summarization Llama3.1,No One,BERTScore,0.8791241858006612
Summarization Llama3.1,No One,SIDE,0.885974117262873
Summarization Llama3.1,Quantization (quanto-qfloat8),Bleu,12.688355413590584
Summarization Llama3.1,Quantization (quanto-qfloat8),BERTScore,0.8788775360731163
Summarization Llama3.1,Quantization (quanto-qfloat8),SIDE,0.8881426742728009
Summarization Llama3.1,Quantization (quanto-qint8),Bleu,12.59007157070238
Summarization Llama3.1,Quantization (quanto-qint8),BERTScore,0.8786649975750557
Summarization Llama3.1,Quantization (quanto-qint8),SIDE,0.8868896476911667
Summarization Llama3.1,Quantization (quanto-qint8),Bleu,12.557670018654228
Summarization Llama3.1,Quantization (quanto-qint8),BERTScore,0.8760393922593375
Summarization Llama3.1,Quantization (quanto-qint8),SIDE,0.8694024985257429
